ID,Eyebrow,Prompt,Option 1,Opt1_Gym,Opt1_Home,Opt1_Boutique,Opt1_Couch,Option 2,Opt2_Gym,Opt2_Home,Opt2_Boutique,Opt2_Couch,Option 3,Opt3_Gym,Opt3_Home,Opt3_Boutique,Opt3_Couch,Option 4,Opt4_Gym,Opt4_Home,Opt4_Boutique,Opt4_Couch
q-track-record,The Track Record,"Be honest with your maker. The last time you had a fitness-adjacent goal, what happened?","I went 4 times a week, tracking every macro like a scientist.",2,1,1,0,"I bought a yoga mat, used it once as a stretching pad, and it is now gathering dust under my bed.",0,0,0,3,I paid for a membership for 8 months without going because I was too polite to cancel.,0,0,0,3,"I run outside until my knees click, then stop for three months.",0,2,0,1
q-commute,The Commute Reality Check,"It is Tuesday at 6:45 PM. It is dark, slightly drizzling, and you just finished a brutal work meeting. The gym is a 12-minute drive away. What are you doing?",Driving there. The iron calls to me.,3,0,0,0,"Sitting in my car in the driveway for 25 minutes scrolling TikTok, eventually eating cereal.",0,0,0,3,"I would go, but only if I have a pre-workout drink that makes my face itch so badly I have to lift things.",2,1,0,0,Opening a bottle of wine and doing three aggressive air squats to alleviate the guilt.,0,0,0,3
q-social-comfort,The Social Comfort Level,How do you feel about making accidental eye contact with a stranger who is grunting loudly while doing biceps curls directly in front of the mirror?,Standard Tuesday behavior. I will nod respectfully.,3,0,0,0,I would rather swallow a live wasp than navigate the social anxiety of a crowded free-weight section.,0,3,0,0,I only care if the lighting is optimal for my post-workout pump selfie.,1,0,3,0,"I prefer to sweat in the dark, isolated privacy of my own existential dread.",0,3,0,1
q-atmosphere,The Atmosphere Preference,What does your ideal workout environment smell like?,"Chalk, stale sweat, and iron.",3,0,0,0,"Eucalyptus, expensive candles, and a $16 cold-pressed juice.",0,0,3,0,"My own living room, specifically because nobody else is there.",0,3,0,0,"I don't know, what does a Netflix binge smell like?",0,0,0,3
q-penalty,The Financial Penalty,"If you don't show up for a workout, what happens?","I feel a deep, internal shame that ruins my day.",2,2,0,0,I am financially penalized $35 by my boutique studio app.,0,0,3,0,Absolutely nothing. The corporate gym chain quietly thanks me for my donation.,0,0,0,3,I just re-schedule it to 'tomorrow' for the fourth time this week.,0,0,0,3
q-equipment,The Equipment Choice,"If you were forced to buy one piece of fitness equipment today, what are you getting?","A sleek, pastel-colored kettlebell that matches my aesthetic.",0,1,3,0,A power rack. I'm building a sanctuary in my garage.,0,3,0,0,Liquid chalk and some lifting straps.,3,0,0,0,Does a massage gun count?,0,0,0,3
q-dress-code,The Dress Code,What is your typical workout attire?,Whatever is clean. Usually an old t-shirt from a 2014 fun run.,2,3,0,0,A matching $120 set that looks great under neon studio lighting.,0,0,3,0,Stringer tank top or oversized pump cover.,3,0,0,0,The same sweatpants I've been wearing since yesterday morning.,0,0,0,3
q-music,The Music,What are you listening to while 'working out'?,"Hardstyle, metal, or a podcast about optimizing my sleep protocol.",3,1,0,0,A perfectly curated deep-house playlist provided by the instructor.,0,0,3,0,"True crime podcasts, but I'm actually just doing chores around the house.",0,1,0,3,Whatever top 40 pop is blasting from the gym's overhead speakers.,1,0,0,0
q-post-workout,The Post-Workout Routine,You just finished a session. What's next?,Chugging a chalky protein shake in my car.,3,0,0,0,Paying $16 for a smoothie containing ingredients I can't pronounce.,0,0,3,0,Lying on my living room floor contemplating my life choices.,0,3,0,0,Taking a long shower and convincing myself I deserve pizza.,0,1,1,3
q-excuse,The Excuse,It's raining. Your planned workout is ruined. Why?,It's not. I'm already at the gym.,3,0,0,0,I can't be bothered to drive. I'll just do pushups in my bedroom.,0,3,0,0,My spin class got cancelled. Guess I'll get brunch instead.,0,0,3,2,Raining? That's prime blanket weather. Try again in spring.,0,0,0,3
